Log - Nov-15-2020 | 0:0:0:BCCRP Bot is ready to serve 2379 users in 3 guilds!
Log - Nov-15-2020 | 0:0:0:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:0:0:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:0:0:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:0:0:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:0:0:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:0:0:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:0:19:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:0:21:BCCRP Bot is ready to serve 2379 users in 3 guilds!
Log - Nov-15-2020 | 0:0:21:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:0:21:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:0:21:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:0:21:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:0:21:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:0:21:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:2:25:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:2:26:BCCRP Bot is ready to serve 2378 users in 3 guilds!
Log - Nov-15-2020 | 0:2:26:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:2:27:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:2:27:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:2:27:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:2:27:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:2:27:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:5:54:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:5:56:BCCRP Bot is ready to serve 2379 users in 3 guilds!
Log - Nov-15-2020 | 0:5:56:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:5:56:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:5:56:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:5:56:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:5:56:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:5:56:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:7:4:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:7:6:BCCRP Bot is ready to serve 2379 users in 3 guilds!
Log - Nov-15-2020 | 0:7:6:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:7:6:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:7:6:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:7:6:BCCRP Bot just loaded messageDelete.ts
