Log - Nov-22-2020 | 17:18:27:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:18:38:BCCRP Bot is ready to serve 2843 users in 3 guilds!
Log - Nov-22-2020 | 17:18:38:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:18:38:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:18:38:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:18:39:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:18:39:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:18:39:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:18:39:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:18:59:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:19:0:BCCRP Bot is ready to serve 2843 users in 3 guilds!
Log - Nov-22-2020 | 17:19:0:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:19:0:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:19:0:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:19:1:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:19:1:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:19:1:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:19:1:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:19:5:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:19:7:BCCRP Bot is ready to serve 2843 users in 3 guilds!
Log - Nov-22-2020 | 17:19:7:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:19:7:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:19:7:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:19:7:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:19:7:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:19:7:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:19:7:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:20:50:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:20:52:BCCRP Bot is ready to serve 2843 users in 3 guilds!
Log - Nov-22-2020 | 17:20:52:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:20:52:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:20:52:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:20:52:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:20:52:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:20:52:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:20:52:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:21:7:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:21:9:BCCRP Bot is ready to serve 2843 users in 3 guilds!
Log - Nov-22-2020 | 17:21:9:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:21:9:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:21:9:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:21:9:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:21:9:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:21:9:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:21:9:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:21:32:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:21:34:BCCRP Bot is ready to serve 2843 users in 3 guilds!
Log - Nov-22-2020 | 17:21:34:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:21:34:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:21:34:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:21:34:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:21:34:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:21:34:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:21:34:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:22:58:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:22:59:BCCRP Bot is ready to serve 2841 users in 3 guilds!
Log - Nov-22-2020 | 17:23:0:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:23:0:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:23:0:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:23:0:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:23:0:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:23:0:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:23:0:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:23:16:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:23:17:BCCRP Bot is ready to serve 2841 users in 3 guilds!
Log - Nov-22-2020 | 17:23:17:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:23:18:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:23:18:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:23:18:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:23:18:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:23:18:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:23:18:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:25:11:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:25:13:BCCRP Bot is ready to serve 2841 users in 3 guilds!
Log - Nov-22-2020 | 17:25:13:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:25:13:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:25:13:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:25:13:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:25:13:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:25:13:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:25:13:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:27:34:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:27:35:BCCRP Bot is ready to serve 2839 users in 3 guilds!
Log - Nov-22-2020 | 17:27:35:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:27:35:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:27:36:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:27:36:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:27:36:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:27:36:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:27:36:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:27:40:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:27:42:BCCRP Bot is ready to serve 2839 users in 3 guilds!
Log - Nov-22-2020 | 17:27:42:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:27:42:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:27:42:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:27:42:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:27:42:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:27:42:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:27:42:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:35:39:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:35:40:BCCRP Bot is ready to serve 2838 users in 3 guilds!
Log - Nov-22-2020 | 17:35:40:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:35:40:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:35:41:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:35:41:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:35:41:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:35:41:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:35:41:BCCRP Bot just loaded ready.ts
Log - Nov-22-2020 | 17:41:3:Connected to the MongoDB database!
Log - Nov-22-2020 | 17:41:5:BCCRP Bot is ready to serve 2839 users in 3 guilds!
Log - Nov-22-2020 | 17:41:5:BCCRP Bot just loaded ping.ts
Log - Nov-22-2020 | 17:41:5:BCCRP Bot just loaded test.ts
Log - Nov-22-2020 | 17:41:5:BCCRP Bot just loaded warn.ts
Log - Nov-22-2020 | 17:41:5:BCCRP Bot just loaded message.ts
Log - Nov-22-2020 | 17:41:5:BCCRP Bot just loaded messageDelete.ts
Log - Nov-22-2020 | 17:41:5:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-22-2020 | 17:41:5:BCCRP Bot just loaded ready.ts
