Log - Oct-28-2020 | 19:23:37:test
Log - Oct-28-2020 | 19:26:56:Bot Ready!
Log - Oct-28-2020 | 19:27:38:Bot Ready!
Log - Oct-28-2020 | 19:28:39:BCCRP Bot is ready to serve 2134 users in 3 guilds!
Log - Oct-28-2020 | 19:45:34:BCCRP Bot is ready to serve 2133 users in 3 guilds!
Log - Oct-28-2020 | 19:49:35:BCCRP Bot is ready to serve 2130 users in 3 guilds!
Log - Oct-28-2020 | 19:50:42:BCCRP Bot is ready to serve 2130 users in 3 guilds!
Log - Oct-28-2020 | 19:50:49:BCCRP Bot is ready to serve 2130 users in 3 guilds!
Log - Oct-28-2020 | 19:54:38:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 19:55:2:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 19:55:12:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 19:56:54:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:2:52:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 20:3:15:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:3:35:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:3:43:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:3:56:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:4:12:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:4:17:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:4:50:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 20:5:16:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 20:6:5:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 20:6:29:BCCRP Bot is ready to serve 2124 users in 3 guilds!
Log - Oct-28-2020 | 20:6:53:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 20:7:0:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 20:7:22:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 20:7:35:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 20:7:46:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 20:9:23:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:9:39:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:9:56:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:13:31:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 20:17:47:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:18:25:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:18:32:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:19:21:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:19:21:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:19:21:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:21:22:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 20:21:22:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:21:22:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:21:27:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:21:28:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:21:28:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:21:36:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:21:36:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:21:36:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:23:49:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:23:49:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:23:49:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:24:1:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:24:38:BCCRP Bot is ready to serve 2130 users in 3 guilds!
Log - Oct-28-2020 | 20:24:39:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:24:39:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:25:14:BCCRP Bot is ready to serve 2131 users in 3 guilds!
Log - Oct-28-2020 | 20:25:14:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:25:14:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:25:42:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:25:42:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:25:42:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:25:44:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:26:31:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:26:31:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:26:31:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:26:31:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:26:37:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:27:2:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:27:3:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:27:3:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:27:5:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:27:50:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:29:8:BCCRP Bot is ready to serve 2131 users in 3 guilds!
Log - Oct-28-2020 | 20:29:8:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:29:8:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:29:10:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:29:35:BCCRP Bot is ready to serve 2131 users in 3 guilds!
Log - Oct-28-2020 | 20:29:35:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:29:35:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:29:35:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:29:43:BCCRP Bot is ready to serve 2131 users in 3 guilds!
Log - Oct-28-2020 | 20:29:43:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:29:43:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:29:43:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:29:56:BCCRP Bot is ready to serve 2131 users in 3 guilds!
Log - Oct-28-2020 | 20:29:56:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:29:56:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:29:56:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:30:14:BCCRP Bot is ready to serve 2130 users in 3 guilds!
Log - Oct-28-2020 | 20:30:14:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:30:14:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:30:14:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:30:51:BCCRP Bot is ready to serve 2130 users in 3 guilds!
Log - Oct-28-2020 | 20:30:51:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:30:51:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:30:52:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:31:42:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:31:42:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:31:42:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:31:44:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:32:8:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:32:9:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:32:9:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:32:9:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:32:14:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:32:48:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:33:12:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:33:12:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:33:12:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:33:22:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
