Log - Oct-29-2020 | 17:47:37:Express server started on 5000
Log - Oct-29-2020 | 17:47:37:Connected to the MongoDB database!
Log - Oct-29-2020 | 17:47:39:BCCRP Bot is ready to serve 2148 users in 3 guilds!
Log - Oct-29-2020 | 17:47:39:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 17:48:9:Express server started on 5000
Log - Oct-29-2020 | 17:48:9:Connected to the MongoDB database!
Log - Oct-29-2020 | 17:48:11:BCCRP Bot is ready to serve 2148 users in 3 guilds!
Log - Oct-29-2020 | 17:48:11:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 17:53:38:Express server started on 5000
Log - Oct-29-2020 | 17:53:38:Connected to the MongoDB database!
Log - Oct-29-2020 | 17:53:39:BCCRP Bot is ready to serve 2147 users in 3 guilds!
Log - Oct-29-2020 | 17:53:39:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 17:53:39:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 17:53:53:Express server started on 5000
Log - Oct-29-2020 | 17:53:53:Connected to the MongoDB database!
Log - Oct-29-2020 | 17:53:55:BCCRP Bot is ready to serve 2149 users in 3 guilds!
Log - Oct-29-2020 | 17:53:55:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 17:53:55:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 17:53:56:ked#0001 (756958129983324322) attempted to run ping.js in Blaine County Country RP (702556315699904604) but didn't have the specified permissions.
Log - Oct-29-2020 | 17:54:12:Express server started on 5000
Log - Oct-29-2020 | 17:54:12:Connected to the MongoDB database!
Log - Oct-29-2020 | 17:54:13:BCCRP Bot is ready to serve 2149 users in 3 guilds!
Log - Oct-29-2020 | 17:54:13:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 17:54:14:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 17:54:14:ked#0001 (756958129983324322) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-29-2020 | 17:54:49:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-29-2020 | 17:55:9:Express server started on 5000
Log - Oct-29-2020 | 17:55:9:Connected to the MongoDB database!
Log - Oct-29-2020 | 17:55:10:BCCRP Bot is ready to serve 2147 users in 3 guilds!
Log - Oct-29-2020 | 17:55:10:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 17:55:11:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 17:55:49:Express server started on 5000
Log - Oct-29-2020 | 17:55:49:Connected to the MongoDB database!
Log - Oct-29-2020 | 17:55:50:BCCRP Bot is ready to serve 2149 users in 3 guilds!
Log - Oct-29-2020 | 17:55:50:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 17:55:50:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 17:59:39:Express server started on 5000
Log - Oct-29-2020 | 17:59:39:Connected to the MongoDB database!
Log - Oct-29-2020 | 17:59:41:BCCRP Bot is ready to serve 2151 users in 3 guilds!
Log - Oct-29-2020 | 17:59:41:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 17:59:41:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 17:59:46:Express server started on 5000
Log - Oct-29-2020 | 17:59:46:Connected to the MongoDB database!
Log - Oct-29-2020 | 17:59:48:BCCRP Bot is ready to serve 2150 users in 3 guilds!
Log - Oct-29-2020 | 17:59:48:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 17:59:48:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:0:39:Express server started on 5000
Log - Oct-29-2020 | 18:0:39:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:0:40:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:0:41:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:0:41:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:0:49:Express server started on 5000
Log - Oct-29-2020 | 18:0:49:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:0:51:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:0:51:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:0:51:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:0:56:Express server started on 5000
Log - Oct-29-2020 | 18:0:56:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:0:58:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:0:58:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:0:58:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:1:8:Express server started on 5000
Log - Oct-29-2020 | 18:1:8:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:1:9:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:1:9:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:1:9:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:1:16:Express server started on 5000
Log - Oct-29-2020 | 18:1:16:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:1:18:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:1:18:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:1:18:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:1:22:Express server started on 5000
Log - Oct-29-2020 | 18:1:22:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:1:23:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:1:24:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:1:24:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:1:31:Express server started on 5000
Log - Oct-29-2020 | 18:1:31:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:1:32:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:1:33:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:1:33:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:1:40:Express server started on 5000
Log - Oct-29-2020 | 18:1:40:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:1:42:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:1:42:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:1:42:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:2:42:Express server started on 5000
Log - Oct-29-2020 | 18:2:42:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:2:43:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:2:44:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:2:44:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:4:57:Express server started on 5000
Log - Oct-29-2020 | 18:4:57:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:4:58:BCCRP Bot is ready to serve 2147 users in 3 guilds!
Log - Oct-29-2020 | 18:4:59:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:4:59:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:5:22:Express server started on 5000
Log - Oct-29-2020 | 18:5:22:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:5:24:BCCRP Bot is ready to serve 2147 users in 3 guilds!
Log - Oct-29-2020 | 18:5:24:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:5:24:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:5:40:Express server started on 5000
Log - Oct-29-2020 | 18:5:40:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:5:42:BCCRP Bot is ready to serve 2147 users in 3 guilds!
Log - Oct-29-2020 | 18:5:42:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:5:42:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:5:51:Express server started on 5000
Log - Oct-29-2020 | 18:5:51:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:5:53:BCCRP Bot is ready to serve 2147 users in 3 guilds!
Log - Oct-29-2020 | 18:5:53:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:5:53:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:5:53:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:6:2:Express server started on 5000
Log - Oct-29-2020 | 18:6:2:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:6:4:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:6:4:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:6:4:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:6:47:Express server started on 5000
Log - Oct-29-2020 | 18:6:47:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:6:49:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:6:49:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:6:49:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:6:53:Express server started on 5000
Log - Oct-29-2020 | 18:6:53:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:6:54:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:6:55:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:6:55:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:7:4:Express server started on 5000
Log - Oct-29-2020 | 18:7:4:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:7:6:BCCRP Bot is ready to serve 2144 users in 3 guilds!
Log - Oct-29-2020 | 18:7:6:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:7:6:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:7:6:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:7:19:Express server started on 5000
Log - Oct-29-2020 | 18:7:19:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:7:21:BCCRP Bot is ready to serve 2144 users in 3 guilds!
Log - Oct-29-2020 | 18:7:21:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:7:21:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:7:21:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:7:29:Express server started on 5000
Log - Oct-29-2020 | 18:7:29:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:7:30:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:7:31:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:7:31:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:7:31:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:8:30:Express server started on 5000
Log - Oct-29-2020 | 18:8:30:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:8:31:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:8:31:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:8:31:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:8:31:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:9:15:Express server started on 5000
Log - Oct-29-2020 | 18:9:15:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:9:16:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:9:48:Express server started on 5000
Log - Oct-29-2020 | 18:9:48:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:9:49:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:9:59:Express server started on 5000
Log - Oct-29-2020 | 18:9:59:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:10:1:BCCRP Bot is ready to serve 2147 users in 3 guilds!
Log - Oct-29-2020 | 18:10:49:Express server started on 5000
Log - Oct-29-2020 | 18:10:49:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:10:50:BCCRP Bot is ready to serve 2147 users in 3 guilds!
Log - Oct-29-2020 | 18:11:42:Express server started on 5000
Log - Oct-29-2020 | 18:11:42:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:11:44:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:13:30:Express server started on 5000
Log - Oct-29-2020 | 18:13:30:Connected to the MongoDB database!
