Log - Oct-30-2020 | 16:4:31:BCCRP Bot is ready to serve 2172 users in 3 guilds!
Log - Oct-30-2020 | 16:4:31:BCCRP Bot just loaded ping.ts
Log - Oct-30-2020 | 16:4:31:BCCRP Bot just loaded warn.ts
Log - Oct-30-2020 | 16:4:32:BCCRP Bot just loaded message.ts
Log - Oct-30-2020 | 16:4:32:BCCRP Bot just loaded messageDelete.ts
Log - Oct-30-2020 | 16:4:32:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-30-2020 | 16:4:32:BCCRP Bot just loaded ready.ts
Log - Oct-30-2020 | 16:5:3:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-30-2020 | 16:10:30:BCCRP Bot is ready to serve 2172 users in 3 guilds!
Log - Oct-30-2020 | 16:10:31:BCCRP Bot just loaded ping.ts
Log - Oct-30-2020 | 16:10:31:BCCRP Bot just loaded warn.ts
Log - Oct-30-2020 | 16:10:31:BCCRP Bot just loaded message.ts
Log - Oct-30-2020 | 16:10:31:BCCRP Bot just loaded messageDelete.ts
Log - Oct-30-2020 | 16:10:31:BCCRP Bot just loaded messageUpdate.ts
Log - Oct-30-2020 | 16:10:31:BCCRP Bot just loaded ready.ts
